Date,Region,Product,Sales,Profit,Quantity
2024-01-07,North,Alpha,4529.47,676.67,45
2024-01-14,South,Delta,3243.78,273.49,23
2024-01-21,East,Gamma,5355.34,727.64,16
2024-01-28,West,Beta,,771.05,13
2024-02-04,North,Alpha,5006.14,572.63,11
2024-02-11,South,Alpha,4718.5,712.02,32
2024-02-18,East,Alpha,3301.56,276.21,18
2024-02-25,north,Gamma,4495.23,379.77,35
2024-03-03,North,Beta,4588.74,820.06,56
2024-03-10,South,Gamma,4037.27,497.48,23
2024-03-17,East,Alpha,4926.46,-4500.0,51
2024-03-24,West,Delta,5604.86,799.64,20
2024-03-31,North,Gamma,7383.42,1272.9,9999
2024-04-07,South,Alpha,5329.49,564.39,9
2024-04-14,East,Alpha,5429.06,840.13,39
2024-04-21,West,Alpha,5030.66,453.98,16
2024-04-28,North,Alpha,2817.47,242.87,29
2024-05-05,South,Beta,5088.18,731.49,56
2024-05-12,East,Beta,5192.28,752.24,25
2024-05-19,West,Alpha,8075.89,1263.81,40
2024-05-26,North,Beta,5009.17,837.19,57
2024-06-02,South,Alpha,5601.86,1104.14,27
2024-06-09,East,Alpha,5198.35,737.94,20
2024-06-16,West,Alpha,3837.59,455.73,43
2024-06-23,North,Beta,6611.39,1159.79,49
2024-06-30,South,Gamma,6142.32,691.01,57
2024-07-07,East,Alpha,6189.24,821.17,46
2024-07-14,West,Beta,4148.74,370.96,43
2024-07-21,North,Beta,6923.35,574.93,18
2024-07-28,South,Alpha,3557.78,695.61,35
2024-08-04,East,Beta,6064.23,1093.49,9
2024-08-11,West,Alpha,7988.55,1306.26,39
2024-08-18,North,Alpha,4171.36,538.42,27
2024-08-25,South,Delta,4680.44,471.77,33
2024-09-01,East,Delta,5479.58,541.23,47
2024-09-08,West,Gamma,4755.83,523.28,15
2024-09-15,North,Alpha,3499.2,510.56,22
2024-09-22,South,Alpha,5442.28,902.07,51
2024-09-29,East,Beta,4085.24,650.47,16
2024-10-06,West,Beta,5928.31,673.41,13
2024-10-13,North,Alpha,4376.69,851.63,14
2024-10-20,South,Beta,7339.92,1237.13,48
2024-10-27,East,Alpha,4540.1,665.23,21
2024-11-03,West,Delta,5093.53,781.38,42
2024-11-10,North,Alpha,6456.22,841.58,11
